model,f1_0,f1_1,f1_2,avg_f1
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-04_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9861882328987122,0.8427337408065796,0.6915073990821838,0.8401431441307068
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-04_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9851641058921814,0.8231228590011597,0.697125256061554,0.8351373672485352
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-04_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9817468523979188,0.7815455198287964,0.6923785209655762,0.8185569643974304
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-04_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9832433462142944,0.7968403697013855,0.6941533088684082,0.8247456550598145
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-04_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9763655066490172,0.7691470384597778,0.644584596157074,0.796699047088623
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-04_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9874446988105774,0.8556278944015503,0.6972030401229858,0.8467585444450378
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-04_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9826059937477112,0.7929331660270691,0.7023003101348877,0.8259465098381042
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-04_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9795234203338624,0.7669116854667664,0.6921505928039551,0.8128619194030762
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-04_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9659734964370728,0.0,0.0,0.3219911754131317
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-04_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9659734964370728,0.0,0.0,0.3219911754131317
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-04_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9659734964370728,0.0,0.0,0.3219911754131317
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-04_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9659734964370728,0.0,0.0,0.3219911754131317
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-02_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9871832132339478,0.8557137846946716,0.6869321465492249,0.8432764410972595
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-02_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9868881106376648,0.8466218113899231,0.6786468625068665,0.8373855948448181
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-02_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9855899214744568,0.8345730304718018,0.6573972702026367,0.8258534669876099
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-02_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.987743616104126,0.8628869652748108,0.661940336227417,0.8375236392021179
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-03_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.986775279045105,0.8475197553634644,0.7314236760139465,0.8552395701408386
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-03_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9873630404472352,0.8529804944992065,0.7002158164978027,0.8468531370162964
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-03_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9814929366111756,0.794863224029541,0.6913052201271057,0.822553813457489
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-03_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.988030195236206,0.8704599738121033,0.6495913863182068,0.8360272645950317
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-04_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9847680926322936,0.8192921280860901,0.6940562725067139,0.8327054977416992
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-04_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9834307432174684,0.8044179081916809,0.6789069771766663,0.8222519159317017
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-04_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9846112132072448,0.818270742893219,0.7135511636734009,0.8388110399246216
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-04_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.979228675365448,0.7617049217224121,0.7029733657836914,0.814635694026947
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-05_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.985120415687561,0.8224252462387085,0.6700660586357117,0.8258705139160156
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-05_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9821770191192628,0.7920942306518555,0.7042219638824463,0.8261644244194031
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-05_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9815017580986024,0.7835351228713989,0.6914588809013367,0.8188319206237793
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-05_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9822751879692078,0.7970356941223145,0.6717916131019592,0.8170341849327087
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-02_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9863012433052064,0.8553585410118103,0.5086439847946167,0.7834346294403076
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-02_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9833465814590454,0.8081759214401245,0.6823394894599915,0.8246207237243652
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-02_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9868358373641968,0.8441919684410095,0.7233738303184509,0.8514672517776489
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-02_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9878001809120178,0.8652245402336121,0.6717000603675842,0.8415749073028564
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-03_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9816317558288574,0.7820817232131958,0.7109395861625671,0.8248844146728516
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-03_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9844273924827576,0.8174671530723572,0.7098833322525024,0.8372592926025391
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-03_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9828923940658568,0.801142692565918,0.714374303817749,0.8328031301498413
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-03_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.98683363199234,0.8530213832855225,0.6040096282958984,0.8146215677261353
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-04_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9835734367370604,0.8080835938453674,0.7021142840385437,0.8312571048736572
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-04_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9855994582176208,0.8292971253395081,0.6570904850959778,0.8239957094192505
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-04_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9877374172210692,0.860120952129364,0.7155042886734009,0.8544542193412781
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-04_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9785990118980408,0.748855710029602,0.7083086371421814,0.8119211196899414
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-05_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9808662533760072,0.7751412987709045,0.6913579702377319,0.8157885074615479
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-05_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9842308163642884,0.8133986592292786,0.695382833480835,0.8310040831565857
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-05_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9792553186416626,0.7490428686141968,0.7087543606758118,0.8123509287834167
UKAN_128_160_256_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-05_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9811498522758484,0.7716370224952698,0.6790611743927002,0.8106160163879395
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-02_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.98013174533844,0.7854642271995544,0.6944624781608582,0.8200194835662842
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-02_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9876031875610352,0.8581066131591797,0.7166655659675598,0.8541251420974731
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-02_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9786235690116882,0.7169971466064453,0.5411462187767029,0.7455889582633972
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-02_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9791489839553832,0.7908167243003845,0.6668954491615295,0.8122870922088623
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-03_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.985743761062622,0.8413265943527222,0.6969150304794312,0.841328501701355
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-03_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9796299934387208,0.7813571095466614,0.669467031955719,0.8101513385772705
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-03_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9780473709106444,0.7684129476547241,0.6867808699607849,0.8110804557800293
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-03_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9817883372306824,0.7849647998809814,0.7218726873397827,0.8295419216156006
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-04_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.975022792816162,0.7440574765205383,0.6547894477844238,0.7912899255752563
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-04_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9874950051307678,0.859967052936554,0.710003674030304,0.85248863697052
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-04_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9804309606552124,0.7734886407852173,0.7086758017539978,0.8208651542663574
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-04_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9710155129432678,0.754035234451294,0.5773030519485474,0.767451286315918
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-05_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9832865595817566,0.7997251152992249,0.7098084092140198,0.8309400081634521
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-05_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9804704189300536,0.8122237920761108,0.6449013352394104,0.8125318288803101
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-05_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9824779033660888,0.7900420427322388,0.7118238210678101,0.8281146287918091
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-05_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9796257615089417,0.7878612875938416,0.6683348417282104,0.8119406700134277
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-02_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9767978191375732,0.7284398674964905,0.6742231845855713,0.7931536436080933
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-02_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9881539344787598,0.8694813847541809,0.7322311401367188,0.8632888197898865
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-02_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9843355417251588,0.8177088499069214,0.700638473033905,0.8342275619506836
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-02_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9877728819847108,0.7689241766929626,0.5675569772720337,0.7747513651847839
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-03_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9787135124206544,0.8033464550971985,0.6477684378623962,0.8099428415298462
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-03_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.983176589012146,0.7996159791946411,0.7074320912361145,0.8300749659538269
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-03_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9834762811660768,0.8073283433914185,0.7339028120040894,0.8415691256523132
